age,gender,educ,nateduc,degree,incom16,income
NA,Male,6 Years of College,Too little,Graduate,Average,"$8000 to $9,999"
NA,NA,12th Grade,Too little,Highschool,NA,NA
NA,Female,12th Grade,NA,Highschool,Average,"$25,000 or more"
20-29 Years old,Male,1 Year of College,NA,Highschool,Below average,"$10,000 to $14,999"
50-59 Years old,Male,6 Years of College,NA,Graduate,Far above average,"$25,000 or more"
80 Years old or over,Male,6 Years of College,NA,Graduate,Average,"$20,000 to $24,999"
NA,Male,12th Grade,NA,Highschool,Above average,"$25,000 or more"
NA,Male,2 Years of College,Too little,Highschool,Above average,NA
NA,Male,12th Grade,About right,Highschool,NA,"$25,000 or more"
30-39 Years old,Female,No formal schooling,NA,Less than highschool,Average,"$25,000 or more"
NA,Female,3 Years of College,Too little,Highschool,NA,NA
10-19 Years old,Male,11th Grade,Too little,Less than highschool,Average,"$25,000 or more"
NA,Male,12th Grade,NA,Highschool,Below average,"$25,000 or more"
30-39 Years old,Female,7 Years of College,Too little,Graduate,Above average,"$25,000 or more"
NA,Male,12th Grade,Too little,Highschool,Below average,"$25,000 or more"
NA,Male,8 Years of College,Too much,Graduate,Below average,"$25,000 or more"
20-29 Years old,Male,5 Years of College,NA,Bachelors,Above average,"$25,000 or more"
30-39 Years old,Female,4 Years of College,Too much,Bachelors,Average,"$25,000 or more"
NA,Female,4 Years of College,Too little,Bachelors,Above average,"$8000 to $9,999"
NA,Male,5 Years of College,Too little,Bachelors,Above average,Refused
NA,Female,3 Years of College,NA,Highschool,Average,"$25,000 or more"
NA,Female,4 Years of College,About right,Bachelors,Average,"$25,000 or more"
NA,Female,12th Grade,Too little,Highschool,Below average,NA
NA,Male,6 Years of College,Too much,Graduate,Above average,"$25,000 or more"
NA,Female,2 Years of College,NA,Associate/Junior College,Average,"$25,000 or more"
30-39 Years old,Male,11th Grade,About right,Less than highschool,Below average,"$8000 to $9,999"
NA,Male,7 Years of College,Too little,Graduate,Far above average,"$25,000 or more"
50-59 Years old,Male,6 Years of College,Too little,Graduate,Above average,"$25,000 or more"
NA,Male,6 Years of College,NA,Graduate,Above average,"$25,000 or more"
NA,Male,8 Years of College,Too much,Graduate,Average,"$25,000 or more"
NA,Male,4 Years of College,NA,Bachelors,Above average,"$8000 to $9,999"
30-39 Years old,Female,5 Years of College,Too little,Graduate,Far above average,"$4000 to $4,999"
NA,Male,8 Years of College,NA,Graduate,Average,NA
NA,Female,2 Years of College,Too little,Highschool,Average,"$25,000 or more"
NA,Female,2 Years of College,Too little,Highschool,Below average,"$25,000 or more"
60-69 Years old,Male,4 Years of College,NA,Bachelors,Below average,"$25,000 or more"
NA,Male,12th Grade,NA,Highschool,Average,"$25,000 or more"
NA,NA,NA,Too little,Less than highschool,NA,Refused
NA,Male,5 Years of College,NA,Graduate,Average,"$25,000 or more"
NA,Male,8 Years of College,Too little,Graduate,Below average,"$25,000 or more"
NA,Female,11th Grade,NA,Less than highschool,Below average,"$7000 to $7,999"
80 Years old or over,Female,12th Grade,NA,Highschool,Below average,"$3000 to $3,999"
NA,Male,4 Years of College,NA,Bachelors,Below average,"$25,000 or more"
30-39 Years old,Male,4 Years of College,NA,Graduate,Above average,"$25,000 or more"
NA,Female,2 Years of College,Too little,Highschool,Far below average,"$25,000 or more"
NA,Female,2 Years of College,NA,Highschool,Average,"$10,000 to $14,999"
NA,Male,10th Grade,Too little,Highschool,Far below average,"$1,000 to $2,999"
NA,Male,12th Grade,Too little,Highschool,Average,"$25,000 or more"
NA,Female,1 Year of College,Too little,Highschool,Below average,"$25,000 or more"
30-39 Years old,Female,12th Grade,NA,Highschool,Average,"$25,000 or more"
NA,Male,3 Years of College,Too little,Highschool,Average,"$25,000 or more"
NA,Female,12th Grade,NA,Highschool,Far below average,"$10,000 to $14,999"
NA,Female,6 Years of College,About right,Graduate,Average,"$25,000 or more"
20-29 Years old,Male,5 Years of College,NA,Bachelors,Average,"$25,000 or more"
NA,Female,3 Years of College,Too little,Associate/Junior College,Average,"$25,000 or more"
NA,Female,6th Grade,NA,Less than highschool,Far below average,"$10,000 to $14,999"
NA,Female,12th Grade,Too little,Highschool,Average,"$25,000 or more"
80 Years old or over,Female,2 Years of College,About right,Highschool,Average,"$25,000 or more"
30-39 Years old,Female,4 Years of College,NA,Graduate,Average,"$25,000 or more"
20-29 Years old,Female,8th Grade,Too little,Less than highschool,NA,"$25,000 or more"
70-79 Years old,Male,2 Years of College,NA,Associate/Junior College,Average,"$25,000 or more"
NA,Male,2 Years of College,Too much,Associate/Junior College,Average,"$25,000 or more"
NA,Female,12th Grade,Too little,Highschool,Above average,"$25,000 or more"
NA,Male,3 Years of College,About right,Highschool,Average,"$25,000 or more"
30-39 Years old,Male,4 Years of College,NA,Bachelors,Average,"$25,000 or more"
NA,Female,4 Years of College,NA,Graduate,Above average,"$25,000 or more"
NA,Male,3 Years of College,Too little,Highschool,Above average,"$25,000 or more"
NA,Female,NA,About right,Highschool,Average,"$25,000 or more"
NA,Male,6 Years of College,NA,Associate/Junior College,Average,NA
30-39 Years old,Female,2 Years of College,NA,Highschool,Below average,"Under $1,000"
NA,Female,12th Grade,About right,Highschool,Below average,"$25,000 or more"
NA,Female,3 Years of College,Too little,Associate/Junior College,Below average,NA
NA,None of these,8 Years of College,Too little,Graduate,Average,"$25,000 or more"
NA,Male,10th Grade,NA,Less than highschool,Below average,"$25,000 or more"
NA,Male,12th Grade,Too little,Highschool,Average,"$10,000 to $14,999"
NA,Female,3 Years of College,Too much,Highschool,Below average,"$25,000 or more"
30-39 Years old,Male,8th Grade,NA,Less than highschool,Average,"$25,000 or more"
20-29 Years old,Female,5 Years of College,About right,Bachelors,Above average,"$25,000 or more"
NA,Female,3 Years of College,About right,Associate/Junior College,Far below average,"$25,000 or more"
NA,Male,2 Years of College,NA,Associate/Junior College,Below average,"$25,000 or more"
NA,Male,2 Years of College,Too little,Associate/Junior College,Below average,"$25,000 or more"
NA,Female,5 Years of College,NA,Graduate,Average,NA
NA,Female,4 Years of College,Too little,Bachelors,Below average,"$25,000 or more"
70-79 Years old,Female,4 Years of College,NA,Graduate,Average,"$25,000 or more"
NA,Female,3 Years of College,NA,Associate/Junior College,Above average,"$25,000 or more"
NA,Male,6 Years of College,Too little,Graduate,Above average,"$25,000 or more"
NA,Male,2 Years of College,NA,Highschool,Above average,Refused
30-39 Years old,Male,10th Grade,Too little,Less than highschool,Above average,"$25,000 or more"
NA,Male,12th Grade,Too little,Highschool,NA,"$25,000 or more"
NA,Female,12th Grade,NA,Highschool,Below average,"$25,000 or more"
NA,Female,2 Years of College,Too little,Associate/Junior College,Average,"$25,000 or more"
NA,Male,7 Years of College,About right,Graduate,Average,Refused
30-39 Years old,Male,6 Years of College,Too little,Graduate,Above average,"$25,000 or more"
20-29 Years old,Female,4 Years of College,Too little,Bachelors,Above average,Refused
20-29 Years old,Male,2 Years of College,NA,Highschool,Above average,NA
NA,Female,5 Years of College,NA,Graduate,Below average,"$25,000 or more"
NA,Female,6 Years of College,NA,Graduate,Average,"$25,000 or more"
NA,Male,6 Years of College,NA,Bachelors,Above average,"$10,000 to $14,999"
30-39 Years old,Female,5 Years of College,NA,Associate/Junior College,Far below average,"$25,000 or more"
30-39 Years old,Female,5 Years of College,About right,Graduate,NA,NA
NA,Female,12th Grade,Too little,Highschool,Average,Refused
30-39 Years old,Female,3 Years of College,Too little,Associate/Junior College,Far below average,"$25,000 or more"
40-49 Years old,Male,12th Grade,NA,Highschool,Below average,"$10,000 to $14,999"
NA,Female,12th Grade,Too little,Highschool,Average,"$20,000 to $24,999"
NA,Male,12th Grade,NA,Highschool,Far below average,"$25,000 or more"
NA,Female,4 Years of College,Too little,Bachelors,Average,"$25,000 or more"
30-39 Years old,Female,2 Years of College,NA,Highschool,Average,"$25,000 or more"
NA,Male,2 Years of College,NA,Highschool,Average,NA
NA,Female,12th Grade,NA,Highschool,Average,"$25,000 or more"
NA,Male,2 Years of College,Too little,Associate/Junior College,Below average,"$25,000 or more"
NA,Male,6 Years of College,NA,Graduate,Below average,"$25,000 or more"
NA,Male,6 Years of College,NA,Graduate,Average,"$25,000 or more"
70-79 Years old,Female,2 Years of College,Too little,Associate/Junior College,Average,"$15,000 to $19,999"
NA,Female,11th Grade,NA,Less than highschool,Below average,"$25,000 or more"
NA,Male,12th Grade,NA,Highschool,Below average,"$25,000 or more"
30-39 Years old,Female,4 Years of College,NA,Bachelors,Average,"$25,000 or more"
NA,Male,2 Years of College,Too little,Highschool,Average,"$25,000 or more"
NA,Female,4 Years of College,Too little,Bachelors,Average,"$25,000 or more"
NA,Male,7 Years of College,NA,Graduate,Above average,Refused
NA,Female,4 Years of College,Too little,Bachelors,Average,"$25,000 or more"
NA,Male,4 Years of College,Too little,Bachelors,Above average,"$25,000 or more"
NA,Female,8 Years of College,NA,Graduate,Above average,"$25,000 or more"
30-39 Years old,Female,1 Year of College,NA,Highschool,Average,"$20,000 to $24,999"
NA,Male,6 Years of College,Too little,Graduate,Average,"$25,000 or more"
80 Years old or over,Female,12th Grade,Too little,Highschool,Below average,NA
20-29 Years old,Male,5 Years of College,Too little,Bachelors,Average,"$25,000 or more"
20-29 Years old,Female,12th Grade,Too little,Highschool,Below average,"$10,000 to $14,999"
NA,Female,3 Years of College,NA,Associate/Junior College,Below average,"Under $1,000"
NA,Female,3 Years of College,Too little,Associate/Junior College,Average,"$5000 to $5,999"
30-39 Years old,Male,2 Years of College,Too little,Associate/Junior College,Above average,"$25,000 or more"
30-39 Years old,Female,12th Grade,NA,Highschool,Average,"$25,000 or more"
30-39 Years old,Female,2 Years of College,NA,Associate/Junior College,Below average,"$25,000 or more"
NA,Male,4 Years of College,NA,Bachelors,Below average,"$25,000 or more"
80 Years old or over,Male,4 Years of College,NA,Bachelors,Below average,Refused
70-79 Years old,Female,4 Years of College,NA,Bachelors,Average,"$25,000 or more"
NA,Female,12th Grade,Too little,Highschool,Above average,"$25,000 or more"
NA,Female,12th Grade,About right,Highschool,Below average,"$25,000 or more"
20-29 Years old,Female,12th Grade,NA,Highschool,Average,"$7000 to $7,999"
NA,Female,4 Years of College,NA,Bachelors,Below average,"$25,000 or more"
NA,Male,2 Years of College,NA,Highschool,Below average,"$25,000 or more"
NA,Female,1 Year of College,Too little,Associate/Junior College,Below average,"$25,000 or more"
NA,Female,4 Years of College,Too little,Associate/Junior College,Far below average,"$1,000 to $2,999"
20-29 Years old,Female,3 Years of College,Too little,Associate/Junior College,Below average,"$15,000 to $19,999"
NA,Male,12th Grade,Too little,Highschool,Average,"$25,000 or more"
NA,Female,2 Years of College,Too little,Highschool,Below average,"$25,000 or more"
30-39 Years old,Female,12th Grade,NA,Highschool,Average,"$8000 to $9,999"
30-39 Years old,Male,4 Years of College,Too little,Bachelors,Above average,"$25,000 or more"
NA,Female,8 Years of College,Too little,Graduate,Average,"$25,000 or more"
NA,Female,5 Years of College,Too little,Graduate,Average,"Under $1,000"
30-39 Years old,None of these,12th Grade,Too little,Highschool,Below average,"$25,000 or more"
30-39 Years old,Male,12th Grade,Too little,Highschool,Far below average,"$10,000 to $14,999"
NA,Female,2 Years of College,Too little,Highschool,Below average,"$25,000 or more"
60-69 Years old,Female,11th Grade,Too little,Highschool,Far above average,"$20,000 to $24,999"
80 Years old or over,Female,4 Years of College,NA,Bachelors,Far below average,"$3000 to $3,999"
80 Years old or over,Female,6 Years of College,NA,Graduate,Above average,"$25,000 or more"
NA,Male,4 Years of College,NA,Bachelors,Below average,"$25,000 or more"
NA,Female,4 Years of College,NA,Bachelors,Below average,"$25,000 or more"
20-29 Years old,Female,5 Years of College,Too little,Graduate,NA,"$3000 to $3,999"
50-59 Years old,Female,6 Years of College,Too little,Graduate,Far below average,Refused
NA,NA,NA,About right,Less than highschool,NA,Refused
30-39 Years old,Male,3 Years of College,NA,Highschool,Below average,"$25,000 or more"
NA,Female,4 Years of College,NA,Bachelors,Below average,"$25,000 or more"
NA,Female,11th Grade,Too little,Less than highschool,Average,"$10,000 to $14,999"
NA,Male,2 Years of College,Too little,Highschool,Above average,"$25,000 or more"
NA,Male,3 Years of College,Too little,Highschool,Below average,"$25,000 or more"
NA,Female,2 Years of College,NA,Associate/Junior College,Far below average,"$25,000 or more"
NA,Female,4 Years of College,NA,Bachelors,Average,"$25,000 or more"
NA,Male,12th Grade,NA,Highschool,Below average,"$25,000 or more"
NA,Female,12th Grade,Too little,Highschool,Average,Refused
NA,Female,2 Years of College,NA,Associate/Junior College,Average,"$25,000 or more"
20-29 Years old,Female,2 Years of College,Too little,Associate/Junior College,Below average,"$25,000 or more"
80 Years old or over,Male,12th Grade,Too much,Highschool,Average,Refused
30-39 Years old,Female,1 Year of College,NA,Highschool,Far above average,"$25,000 or more"
NA,Female,3 Years of College,Too little,Associate/Junior College,Below average,"$25,000 or more"
NA,Male,2 Years of College,Too little,Associate/Junior College,Average,NA
NA,Female,1 Year of College,NA,Highschool,Below average,"$1,000 to $2,999"
NA,Female,12th Grade,Too little,Highschool,Average,"$25,000 or more"
30-39 Years old,Female,11th Grade,NA,Less than highschool,Above average,"$10,000 to $14,999"
NA,Female,1 Year of College,NA,Highschool,Below average,"$25,000 or more"
NA,Male,12th Grade,NA,Highschool,NA,NA
NA,Female,4 Years of College,Too little,Bachelors,Average,"$25,000 or more"
20-29 Years old,Female,12th Grade,NA,Highschool,Average,"$10,000 to $14,999"
NA,Male,3 Years of College,Too little,Highschool,Below average,"$25,000 or more"
30-39 Years old,Female,12th Grade,NA,Highschool,Below average,"$10,000 to $14,999"
NA,Male,7 Years of College,NA,Graduate,Average,Refused
NA,Male,3 Years of College,About right,Associate/Junior College,Average,"$15,000 to $19,999"
NA,NA,NA,NA,Less than highschool,NA,Refused
NA,Female,2 Years of College,NA,Highschool,Below average,"$25,000 or more"
30-39 Years old,NA,2 Years of College,NA,Highschool,NA,NA
70-79 Years old,Male,NA,NA,Less than highschool,Below average,"$10,000 to $14,999"
NA,Female,12th Grade,Too little,Highschool,Above average,"$10,000 to $14,999"
NA,Male,8 Years of College,About right,Graduate,Below average,"$25,000 or more"
NA,Male,4 Years of College,NA,Associate/Junior College,Far below average,"$25,000 or more"
NA,Male,11th Grade,Too little,Highschool,Below average,"Under $1,000"
20-29 Years old,Female,5 Years of College,NA,Bachelors,Average,"$15,000 to $19,999"
30-39 Years old,Male,5 Years of College,NA,Graduate,Below average,"$25,000 or more"
